Tons|Standard|Endo|Head|TorsoC|TorsoLR|ArmsLR|LegsLR|MaxArmorBipedQuad
20|2.0|1.0|3|6|5|3|4|69/73
25|2.5|1.5|3|8|6|4|6|89/97
30|3.0|1.5|3|10|7|5|7|105/113
35|3.5|2.0|3|11|8|6|8|119/127
40|4.0|2.0|3|12|10|6|10|137/153
45|4.5|2.5|3|14|11|7|11|153/169
50|5.0|2.5|3|16|12|8|12|169/185
55|5.5|3.0|3|18|13|9|13|185/201
60|6.0|3.0|3|20|14|10|14|201/217
65|6.5|3.5|3|21|15|10|15|211/231
70|7.0|3.5|3|22|15|11|15|217/233
75|7.5|4.0|3|23|16|12|16|231/247
80|8.0|4.0|3|25|17|13|17|247/263
85|8.5|4.5|3|27|18|14|18|263/279
90|9.0|4.5|3|29|19|15|19|279/295
95|9.5|5.0|3|30|20|16|20|293/309
100|10.0|5.0|3|31|21|17|21|307/323
